City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,Upernavik,GL,2022-01-24 03:18:08,72.7868,-56.1549,-6.92,60,58,6.29
282,Batatais,BR,2022-01-24 03:21:05,-20.8911,-47.585,71.58,90,20,2.57
283,Moron,AR,2022-01-24 03:21:05,-34.6534,-58.6198,74.98,92,94,3.4
284,Arraial Do Cabo,BR,2022-01-24 03:21:06,-22.9661,-42.0278,75.42,86,9,21.39
285,Soyo,AO,2022-01-24 03:21:06,-6.1349,12.3689,75.56,87,100,8.9
286,Charlestown,AU,2022-01-24 03:18:26,-32.95,151.6667,78.82,73,84,5.01
287,Jaguey Grande,CU,2022-01-24 03:20:44,22.5269,-81.1286,68.65,89,17,6.15
288,Ucluelet,CA,2022-01-24 03:21:06,48.9329,-125.5528,41.09,92,100,0.54
289,Panjab,AF,2022-01-24 03:21:07,34.388,67.0233,-15.02,68,6,5.59
290,Kolondieba,ML,2022-01-24 03:21:07,11.0882,-6.8926,67.21,16,0,5.48
291,Piacabucu,BR,2022-01-24 03:21:07,-10.4056,-36.4344,78.06,82,100,5.57
292,Taoudenni,ML,2022-01-24 03:21:08,22.6783,-3.9836,62.37,20,90,9.33
293,Weligama,LK,2022-01-24 03:21:08,5.9667,80.4167,77.07,78,99,4.65
