City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Labuhan,ID,-6.8844,112.2051,80.69,81,100,9.69,overcast clouds
274,Sorel,CA,46.0418,-73.1136,-4.11,78,10,4.43,clear sky
275,Sitka,US,57.0531,-135.33,37.29,87,20,4.61,few clouds
276,Howard Springs,AU,-12.497,131.047,89.87,83,66,7.85,broken clouds
277,Shiloh,US,38.5614,-89.8973,24.26,43,0,4.61,clear sky
278,Sao Goncalo,BR,-22.8156,-43.0411,87.62,66,20,0.0,few clouds
279,San Andres,CO,12.5847,-81.7006,80.62,69,75,10.36,broken clouds
280,Redcar,GB,54.6166,-1.06,51.33,58,100,11.01,overcast clouds
281,Maneadero,MX,31.7167,-116.5667,60.19,77,15,1.01,few clouds
282,Egvekinot,RU,66.3167,-179.1667,-15.63,85,100,0.72,overcast clouds
283,Luderitz,NA,-26.6481,15.1594,68.72,69,5,19.82,clear sky
284,Hamilton,US,39.1834,-84.5333,20.59,62,0,0.0,clear sky
285,Ballina,AU,-28.8667,153.5667,80.78,70,100,8.05,overcast clouds
286,Anchorage,US,61.2181,-149.9003,25.2,85,100,5.01,overcast clouds
287,Araouane,ML,18.9048,-3.5265,67.03,14,99,9.6,overcast clouds
288,Tabuk,PH,17.4189,121.4443,73.51,94,100,2.89,overcast clouds
289,Bayburt,TR,40.2589,40.2278,19.47,96,100,2.08,light snow
290,Margate,GB,51.3813,1.3862,42.89,82,92,5.01,overcast clouds
291,Esperance,AU,-33.8667,121.9,64.24,80,100,7.09,overcast clouds
292,Marrakesh,MA,31.6315,-8.0083,51.87,82,40,4.61,scattered clouds
293,Palamos,ES,41.8484,3.1291,52.32,59,0,6.87,clear sky
294,Matamoros,MX,25.5333,-103.25,62.17,29,12,6.85,few clouds
295,Florianopolis,BR,-27.6146,-48.5012,79.83,83,75,3.0,thunderstorm
296,Ipameri,BR,-17.7219,-48.1597,67.66,90,100,3.09,overcast clouds
297,Salalah,OM,17.0151,54.0924,65.68,59,0,2.3,clear sky
298,Acapulco,MX,16.8634,-99.8901,77.61,78,0,4.29,clear sky
299,Mahenge,TZ,-8.6833,36.7167,63.99,97,100,3.33,light rain
300,Caiaponia,BR,-16.9567,-51.8103,68.32,93,42,1.88,scattered clouds
301,Cayenne,GF,4.9333,-52.3333,75.24,94,100,4.61,overcast clouds
302,Riviere-Au-Renard,CA,48.9957,-64.3971,-0.4,91,61,14.83,broken clouds
303,Paso De Los Toros,UY,-32.8167,-56.5167,69.98,92,100,20.76,overcast clouds
304,Bismarck,US,46.8083,-100.7837,33.87,84,100,18.01,overcast clouds
305,Yichang,CN,30.7144,111.2847,38.91,87,100,1.16,light rain
306,Bayir,TR,37.2687,28.2167,28.92,72,1,6.44,clear sky
307,Ayr,GB,55.4627,-4.6339,49.98,76,75,13.8,broken clouds
308,Melenki,RU,55.3343,41.6295,-2.4,100,90,3.36,snow
309,Byron Bay,AU,-28.65,153.6167,81.05,62,2,9.93,clear sky
310,Grand Forks,US,47.9417,-97.4337,30.13,74,100,16.11,overcast clouds
311,San Carlos De Bariloche,AR,-41.1456,-71.3082,76.75,33,40,6.91,scattered clouds
312,Laguna,US,38.421,-121.4238,64.49,46,0,3.44,clear sky
313,Fanai,IR,38.517,44.9745,20.68,89,100,1.77,overcast clouds
314,Windhoek,NA,-22.5594,17.0832,73.6,43,17,4.61,few clouds
315,Mansa,IN,29.9833,75.3833,44.02,67,0,4.61,clear sky
316,Ilulissat,GL,69.2167,-51.1,10.42,72,100,12.97,overcast clouds
317,Ust-Kuyga,RU,70.0167,135.6,-9.65,97,100,10.22,overcast clouds
318,Longyearbyen,SJ,78.2186,15.6401,10.24,61,75,14.97,broken clouds
319,Severo-Kurilsk,RU,50.6789,156.125,26.47,70,88,27.18,overcast clouds
320,Zyryanka,RU,65.75,150.85,-36.44,98,55,6.64,broken clouds
321,Avera,US,33.194,-82.5271,49.51,72,56,7.65,broken clouds
322,Port Blair,IN,11.6667,92.75,78.84,78,40,6.91,mist
323,Nome,US,64.5011,-165.4064,-13.85,83,0,0.0,clear sky
324,Kardla,EE,58.9978,22.7492,35.02,97,100,8.66,overcast clouds
325,Karpogory,RU,64.0019,44.4451,-3.32,100,76,3.53,broken clouds
326,Torbay,CA,47.6666,-52.7314,32.88,96,100,12.66,light snow
327,Bosobolo,CD,4.1833,19.9,75.24,31,100,3.24,overcast clouds
328,Iquique,CL,-20.2208,-70.1431,67.68,76,53,0.85,broken clouds
329,Doha,QA,25.2867,51.5333,66.09,89,0,0.0,clear sky
330,Isangel,VU,-19.55,169.2667,86.11,84,75,2.3,moderate rain
331,Bilma,NE,18.6853,12.9164,52.86,35,16,10.22,few clouds
332,Genhe,CN,50.7833,121.5167,-11.34,99,98,2.15,overcast clouds
333,Cortez,US,37.3489,-108.5859,35.51,47,0,7.11,clear sky
334,Half Moon Bay,US,37.4636,-122.4286,63.88,67,0,0.0,haze
335,Nizhniy Kuranakh,RU,58.8353,125.4869,-2.06,97,100,8.5,light snow
336,Guerrero Negro,MX,27.9769,-114.0611,64.85,47,100,8.63,overcast clouds
337,Nargana,PA,9.4428,-78.5906,78.37,85,100,13.49,overcast clouds
338,Lavrentiya,RU,65.5833,-171.0,-18.18,88,27,5.01,scattered clouds
339,Aktyubinskiy,RU,54.8137,52.8056,9.64,94,100,10.67,overcast clouds
340,San Cristobal,VE,7.7669,-72.225,73.58,86,100,1.74,overcast clouds
341,Tabou,CI,4.423,-7.3528,78.89,82,5,6.58,clear sky
342,Cartersville,US,34.1651,-84.7999,43.86,41,0,3.0,clear sky
343,Cairns,AU,-16.9167,145.7667,87.94,74,40,3.44,scattered clouds
344,Sobolevo,RU,54.4299,31.8996,10.09,98,100,6.33,light snow
345,Leh,IN,34.1667,77.5833,-8.16,89,99,3.38,overcast clouds
346,Bayan,CN,46.0833,127.4,0.66,95,100,5.08,overcast clouds
